descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento Mobiliado de Porteira Fechada incluindo todos os móveis e eletrodomésticos no Ecoville;Rua Jeremias Maciel Perretto;['106'];[3];[2];-;610000;600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-93m2-venda-RS610000-id-2540256541/
Apartamento para venda com 52 metros quadrados com 2 quartos em Capão Raso - Curitiba - Paraná;Rua Marechal Octávio Saldanha Mazza;['68'];[2];[1];-;250000;450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-52m2-venda-RS250000-id-2525451378/
Apto pronto para morar com 73 m² com 3 quartos (1suite) no Portão - Curitiba - Paraná;Rua Morretes;[];[3];[2];-;498000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-73m2-venda-RS498000-id-2472408476/
Garden Sevilha - Apartamento para venda com 3 quartos em Boa Vista - Curitiba - Paraná;Rua Jovino do Rosário;['102'];[3];[2];-;510000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-70m2-venda-RS510000-id-2535249659/
Apartamento para venda possui 100 metros quadrados com 3 quartos em Bacacheri - Curitiba - Paraná;Rua Nicarágua;['137'];[3];[2];-;510000;600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-100m2-venda-RS510000-id-2539080886/
Apartamento para venda tem 163 metros quadrados com 2 quartos em Batel - Curitiba - Paraná;Alameda Dom Pedro II;['183'];[2];[2];-;1045000;1000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-163m2-venda-RS1045000-id-2511957009/
Apartamento amplo, bem arejado e iluminado no coração do Batel;Avenida Sete de Setembro;[];[2];[2];-;449900;520;https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-80m2-venda-RS449900-id-2544554503/
Apartamento para venda possui 45 metros quadrados com 2 quartos em Água Verde - Curitiba - Paraná;Rua Rio Grande do Sul;['70'];[2];[1];-;235000;250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-45m2-venda-RS235000-id-2538618546/
Apartamento para venda possui 0 metros quadrados em Capão Raso - Curitiba - Paraná;Rua Marechal Octávio Saldanha Mazza;[];[2];[1];-;194500;380;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-56m2-venda-RS194500-id-2469215484/
Apartamento para venda com 82 metros quadrados com 2 quartos em Boa Vista - Curitiba - Paraná;Rua Leão Sallum;[];[2];[2];-;735000;486;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-82m2-venda-RS735000-id-2517262807/
Apartamento de 66 metros quadrados no bairro Cristo Rei com 2 quartos;Rua Sanito Rocha;['101'];[2];[2];-;448000;375;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-66m2-venda-RS448000-id-2427692269/
Apartamento para venda com 53 metros quadrados com 2 quartos em Capão Raso - Curitiba - Paraná;Rua Francisco Raitani;[];[2];[1];-;350000;350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-53m2-venda-RS350000-id-2531047980/
Apartamento para venda com 78 metros quadrados com 2 quartos em Vila Izabel - Curitiba - Paraná;Rua Guaianazes;[];[2];[2];-;580000;400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-78m2-venda-RS580000-id-2501527340/
Ótimo apartamento no Caiua;Rua Vale dos Pássaros;[];[2];[1];-;130000;352;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-50m2-venda-RS130000-id-2467550190/
Apartamento para venda tem 59 metros quadrados com 2 quartos em Boa Vista - Curitiba - Paraná;Rua Alberto Potier;['75'];[2];[2];-;404000;260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento Duplex 100m² no Cristo Rei, 3 quartos, 2 vagas, 2 suítes, último andar...;Avenida Presidente Affonso Camargo;['156'];[3];[3];-;380000;704;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS380000-id-2537867877/
Permuto por imóvel em São Paulo Apartamento para venda tem 132m² 4 dorm e 1 suite.;Rua Jerônimo Durski;[];[4];[3];-;680000;1200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-bigorrilho-bairros-curitiba-com-garagem-132m2-venda-RS680000-id-2488350712/
Apartamento para venda possui 71 metros quadrados com 2 quartos;Rua Cristiano Strobel;['138'];[2];[2];-;455000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS455000-id-2535721382/
Lindo e ensolarado apartamento no Batel;Rua Desembargador Motta;['108'];[3];[2];-;850000;1100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-90m2-venda-RS850000-id-2483297019/
Apartamento para venda possui 218 metros quadrados com 4 quartos em Cabral - Curitiba - Paraná;Avenida Munhoz da Rocha;[];[4];[5];-;763483;-;https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabral-bairros-curitiba-com-garagem-218m2-venda-RS763483-id-2540852990/
Apartamento para venda com 57 metros quadrados com 2 quartos em Bigorrilho - Curitiba - Paraná;Rua Padre Anchieta;['70'];[2];[2];-;359000;450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS359000-id-2542150574/
Apartamento para venda tem 89 metros quadrados com 3 quartos em Vila Izabel - Curitiba - Paraná;Rua Guararapes;['138'];[3];[3];-;360000;560;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-89m2-venda-RS360000-id-2516118616/
Apartamento para venda tem 105 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Engenheiro Niepce da Silva;[];[3];[3];-;917000;640;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS917000-id-2542751984/
Belíssimo apartamento a venda no Batel- Porteira fechada;Rua Coronel Dulcídio;[];[3];[5];-;1500000;2000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-160m2-venda-RS1500000-id-2526497273/
AP com 52,65m área privativa e 60,25 de área total 3 quartos na CIC - Fazendinha - Curitiba - PR;Rua João Dembinski;['6025'];[3];[1];-;179000;359;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS179000-id-2537687990/
Amplo Apto 3 Quartos melhor localização;Rua Martim Afonso;['177'];[3];[2];-;465000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-126m2-venda-RS465000-id-2524811083/
OPORTUNIDADE - AP - 150 m², com 4 quartos em Alto da Glória - Curitiba - Paraná;Rua Campos Sales;['250'];[4];[4];-;700000;871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apto Reformado, último andar, Ensolarado, Ventilado, Vista garantida;Rua Prefeito João Moreira Garcez;[];[2];[2];-;388000;550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-67m2-venda-RS388000-id-2539387283/
Apartamento para venda tem 75 metros quadrados com 3 quartos em Cabral - Curitiba - Paraná;Rua da Bandeira;['114'];[3];[2];-;530000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-75m2-venda-RS530000-id-2531807609/
Studio de alto padrão para INVESTIDORES;Rua Nicolau Maeder;[];[1];[1];-;300000;198;https://www.vivareal.com.br/imovel/apartamento-1-quartos-juveve-bairros-curitiba-25m2-venda-RS300000-id-2515160482/
Batel 100% Reformado!!;Rua Buenos Aires;['303'];[4];[5];-;1045000;2064;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-197m2-venda-RS1045000-id-2502157528/
Apartamento para venda com 82 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Maranhão;[];[3];[2];-;650000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-82m2-venda-RS650000-id-2525011851/
Apartamento para venda possui 96 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Nestor Victor;['103'];[3];[3];-;620000;440;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS620000-id-2523939706/
Apartamento para venda possui 85 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Serafim França;['105'];[3];[2];-;850000;356;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-85m2-venda-RS850000-id-2525663915/
Apartamento para venda com 63 metros quadrados com 3 quartos em Bigorrilho - Curitiba - Paraná;Rua Padre Agostinho;['103'];[3];[2];-;380000;430;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS380000-id-2538270880/
Excelente localização, pronto para morar;Rua Carneiro Lobo;['201'];[4];[3];-;1150000;930;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-150m2-venda-RS1150000-id-2536043485/
Apartamento para venda tem 46metros quadrados com 2 quartos em Tatuquara - Curitiba - Paraná;Avenida Pero Vaz de Caminha;[];[2];[1];-;130000;325;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tatuquara-bairros-curitiba-com-garagem-46m2-venda-RS130000-id-2531115577/
Apartamento para venda tem 48 metros quadrados com 2 quartos em Alto Boqueirão - Curitiba - Paraná;Rua Satyrio Ferreira da Costa;[];[2];[1];-;160000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS160000-id-2501223635/
Apartamento para venda tem 67 metros quadrados com 2 quartos em Centro - Curitiba - Paraná;Alameda Augusto Stellfeld;[];[2];[2];-;570000;400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-67m2-venda-RS570000-id-2543216221/
Apartamento para venda possui 60 metros quadrados com 2 quartos em Uberaba - Curitiba - Paraná;Rua Pedro Locatelli Júnior;['90'];[2];[2];-;219000;430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-uberaba-bairros-curitiba-com-garagem-60m2-venda-RS219000-id-2544533265/
Apartamento 3 quartos com móveis planejados quarto e cozinha;Rua Padre Agostinho;[];[3];[1];-;330000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-56m2-venda-RS330000-id-2497942673/
Apt para venda no Cond. Botânica: 113 m² com 3 quartos. Cristo Rei - Curitiba;Rua Coronel Pedro Scherer Sobrinho;[];[3];[4];-;1280000;550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1280000-id-2535740776/
Apartamento com 3 quartos sendo 1 suíte;Avenida Senador Souza Naves;['160'];[3];[2];-;550000;670;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS550000-id-2540008874/
Apartamento para venda com 85 metros quadrados com 2 quartos em Alto da Rua XV - Curitiba - Paraná;Rua José de Alencar;[];[2];[2];-;690000;320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
4 vagas de garagem, 3 suítes, 132 m2, a poucos metros da Justiça Federal no Ahú - Curitiba-PR;Rua Fausto Nascimento Bittencourt;['231'];[3];[5];-;1799000;1100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ahu-bairros-curitiba-com-garagem-132m2-venda-RS1799000-id-2501098374/
Apartamento para venda possui 133 metros quadrados com 4 quartos em Centro - Curitiba - Paraná;Rua João Negrão;['154'];[4];[3];-;360000;550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Apartamento com Suíte no Condomínio Clube Ilhas Do Caribe - Vista Alegre - Curitiba/PR;Rua Jacob Wellner;[];[2];[2];-;380000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vista-alegre-bairros-curitiba-com-garagem-64m2-venda-RS380000-id-2540348786/
Apartamento para Venda ou Locação contendo 148 m² com 3 Quartos em Curitiba/PR;Rua Estados Unidos;['206'];[3];[3];-;580000;1200;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-148m2-venda-RS580000-id-2522785182/
Apartamento para venda possui 37 metros quadrados com 1 quarto em Centro - Curitiba - Paraná;Rua Vinte e Quatro de Maio;[];[1];[1];-;235000;350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-37m2-venda-RS235000-id-2536388107/
Apartamento para venda tem 58 metros quadrados com 3 quartos em Santa Cândida - Curitiba - Paraná;Estrada Guilherme Weigert;['182'];[3];[1];-;250000;260;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-candida-bairros-curitiba-com-garagem-58m2-venda-RS250000-id-2537860287/
Apartamento para venda tem 64 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Engenheiro Niepce da Silva;['79'];[3];[3];-;259000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-64m2-venda-RS259000-id-2536711817/
Apartamento para venda com 52 metros quadrados com 2 quartos em Novo Mundo - Curitiba - Paraná;Rua Athaide Cardon;[];[2];[1];-;265000;320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-52m2-venda-RS265000-id-2505500801/
Apartamento para venda tem 44 m2 privativos com 2 quartos em Fazendinha - Curitiba - Paraná;Rua Juvenal Carvalho;['46'];[2];[1];-;185500;395;https://www.vivareal.com.br/imovel/apartamento-2-quartos-fazendinha-bairros-curitiba-com-garagem-44m2-venda-RS185500-id-2531822386/
Apartamento para venda mobiliado - Residencial Anoara- tem 99 metros quadrados com 3 quartos;Rua Afonso Piotto;[];[3];[1];-;270000;340;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-78m2-venda-RS270000-id-2490155194/
Apartamento para venda com 48 metros quadrados com 2 quartos em Sítio Cercado - Curitiba - Paraná;Rua Tijucas do Sul;['50'];[2];[1];-;165000;296;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS165000-id-2507825183/
Apartamento Mobiliado com 3 suítes - 128 m2 priv. no Portão - Curitiba - Paraná;Rua Engenheiro Niepce da Silva;['178'];[3];[5];-;1140000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-128m2-venda-RS1140000-id-2493769819/
Apartamento para venda com 67 metros quadrados com 3 quartos em Novo Mundo - Curitiba - Paraná;Rua Mário Chalbaud Biscaia;['115'];[3];[2];-;352000;320;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS352000-id-2522878143/
Apartamento para venda com 102 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Avenida Iguaçu;[];[3];[3];-;650000;1000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
Apartamento para venda possui 179 metros quadrados com 4 quartos em Mossunguê - Curitiba - Paraná;Rua Monsenhor Ivo Zanlorenzi;['266'];[4];[5];-;1530000;1700;https://www.vivareal.com.br/imovel/apartamento-4-quartos-mossungue-bairros-curitiba-com-garagem-179m2-venda-RS1530000-id-2539055897/
Apartamento para venda tem 89 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Brigadeiro Franco;['114'];[3];[2];-;1250000;750;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-89m2-venda-RS1250000-id-2521778077/
Apartamento para venda com 50 metros quadrados com 2 quartos em Campo Comprido - Curitiba - Paraná;Rua Renato Polatti;[];[2];[2];-;219000;475;https://www.vivareal.com.br/imovel/apartamento-2-quartos-campo-comprido-bairros-curitiba-com-garagem-50m2-venda-RS219000-id-2523669135/
Apartamento para venda possui 195 metros quadrados com 3 quartos em Juvevê - Curitiba - Paraná;Rua Manoel Eufrásio;['421'];[3];[4];-;2290000;650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-juveve-bairros-curitiba-com-garagem-195m2-venda-RS2290000-id-2538971980/
Apartamento de 100 metros quadrados no bairro Alto da Glória com 3 quartos;Rua Barão de Guaraúna;['140'];[3];[2];-;750000;500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-100m2-venda-RS750000-id-2429961025/
2 quartos e perto do Shopping;Rua Professor Dario Veloso;['93'];[2];[1];-;298000;220;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-60m2-venda-RS298000-id-2510610643/
Apartamento de 94 metros quadrados no bairro Ahú com 2 quartos;Rua Alberto Folloni;['160'];[2];[2];-;950000;650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-ahu-bairros-curitiba-com-garagem-94m2-venda-RS950000-id-2427784283/
Linda cobertura duplex, na melhor localidade do Bacacheri.;Rua Gago Coutinho;['250'];[3];[4];-;890000;1000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-140m2-venda-RS890000-id-2521551274/
Apartamento de 109 metros quadrados no bairro Água Verde com 3 quartos;Travessa Lange;['169'];[3];[3];-;580000;710;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-109m2-venda-RS580000-id-2427786525/
Imperdível Apto 3dorm c/ garagem CENTRO;Rua Doutor Pedro Augusto Menna Barreto Monclaro;['120'];[3];[1];-;249000;450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-90m2-venda-RS249000-id-2543462480/
Sofisticação e espaços amplos em apartamento todo reformado.;Rua Sete de Abril;['186'];[3];[3];-;985000;850;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-136m2-venda-RS985000-id-2501610271/
Apartamento para venda possui 195 metros quadrados com 3 quartos em Cristo Rei - Curitiba - Paraná;Rua Padre Germano Mayer;['230'];[3];[4];-;915000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-195m2-venda-RS915000-id-2501087111/
Apartamento para venda com 72 metros quadrados com 2 quartos em Ahú - Curitiba - Paraná;Rua Vereador Washington Mansur;['103'];[2];[2];-;420000;450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-ahu-bairros-curitiba-com-garagem-72m2-venda-RS420000-id-2540601879/
Apartamento para venda tem 87 metros quadrados com 1 quarto em Bacacheri - Curitiba - Paraná;Avenida Nossa Senhora da Luz;['130'];[1];[2];-;609000;530;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bacacheri-bairros-curitiba-com-garagem-87m2-venda-RS609000-id-2537026046/
Apartamento para venda possui 157 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Rua Alferes Ângelo Sampaio;[];[3];[4];-;1550000;830;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-157m2-venda-RS1550000-id-2489471481/
Apartamento Santo Inácio - Curitiba - Paraná;Rua João Batista Dallarmi;['106'];[3];[3];-;520000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-77m2-venda-RS520000-id-2494695622/
Apartamento para venda com 97 metros quadrados com 2 quartos em Água Verde - Curitiba - Paraná;Rua Santa Catarina;['97'];[2];[1];-;300000;300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-65m2-venda-RS300000-id-2508121879/
Apartamento para venda possui 904 metros quadrados com 5 quartos em Vila Izabel - Curitiba - Paraná;Rua Coronel Ottoni Maciel;['645'];[5];[7];-;3350000;3300;https://www.vivareal.com.br/imovel/apartamento-5-quartos-vila-izabel-bairros-curitiba-com-garagem-904m2-venda-RS3350000-id-2528944603/
Apartamento super espaçoso no melhor do centro de Curitiba - Paraná;Rua Visconde do Rio Branco;['189'];[4];[3];-;480000;1465;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-178m2-venda-RS480000-id-2524549499/
Apartamento para venda tem 162 metros quadrados em Água Verde - Curitiba - Paraná;Avenida Iguaçu;[];[3];[5];-;1780000;1100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-162m2-venda-RS1780000-id-2524976562/
Apartamento para venda com 75 metros quadrados com 2 quartos em Jardim Botânico - Curitiba - Paraná;Rua Hildebrando de Araújo;['120'];[2];[1];-;438314;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-botanico-bairros-curitiba-com-garagem-75m2-venda-RS438314-id-2488882945/
Apartamento para venda possui 121 metros quadrados com 2 quartos em Vila Izabel - Curitiba - Paraná;Rua Professor Dario Veloso;[];[2];[2];-;1300000;1000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-121m2-venda-RS1300000-id-2515153879/
Apartamento para venda possui 79 metros quadrados com 2 quartos;Rua Hildebrando de Araújo;[];[2];[1];-;399000;250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-botanico-bairros-curitiba-com-garagem-79m2-venda-RS399000-id-2534373195/
Apartamento para venda possui 92 metros quadrados com 3 quartos;Rua Paraguassu;['113'];[3];[3];-;759000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-92m2-venda-RS759000-id-2530685808/
Apartamento Reformado - 1 Quarto com Garagem - Centro de Curitiba - 43m2 área útil - VENDA;Rua Benjamin Constant;['75'];[1];[1];-;230000;460;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-43m2-venda-RS230000-id-2506844199/
Apartamento 1 Quarto | 50 m² total e 40 m² úteis | Centro - Curitiba;Rua Vinte e Quatro de Maio;['50'];[1];[1];-;210000;270;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-40m2-venda-RS210000-id-2519518957/
Apartamento mobiliado no Santa Cândida;-;[];[2];[1];-;220900;180;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-49m2-venda-RS220900-id-2519796716/
Apartamento de 117 metros quadrados no bairro Cabral com 4 quartos;Rua Doutor Manoel Pedro;[];[3];[4];-;1050000;800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-117m2-venda-RS1050000-id-2427697835/
Apartamento para venda com 33 metros quadrados com 1 quarto em Champagnat - Curitiba - Paraná;Rua Padre Giacomo Cusmano;['46'];[1];[1];-;350000;470;https://www.vivareal.com.br/imovel/apartamento-1-quartos-champagnat-bairros-curitiba-33m2-venda-RS350000-id-2510093350/
Apartamento para venda com 51 metros quadrados com 3 quartos em Fazendinha - Curitiba - Paraná;Rua Juvenal Carvalho;['70'];[3];[1];-;250000;400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-51m2-venda-RS250000-id-2468277694/
Apartamento para venda possui 5000 metros quadrados com 4 quartos em Boa Vista - Curitiba - Paraná;Rua Vicente Geronasso;['174932'];[4];[3];-;1250000;-;https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-vista-bairros-curitiba-com-garagem-5000m2-venda-RS1250000-id-2511835096/
